word,word_id
vpon,1640
complexion,1641
gallowes,1642
fast,1643
hanging,1644
destiny,1645
cable,1646
aduantage,1647
hang,1648
miserable,1649
downe,1650
top,1651
lower,1652
bring,1653
maine,1654
course,1655
plague,1656
cry,1657
howling,1658
lowder,1659
weather,1660
shal,1661
ore,1662
drowne,1663
sinke,1664
sebas,1665
poxe,1666
throat,1667
bawling,1668
blasphemous,1669
incharitable,1670
dog,1671
whoreson,1672
noyse,1673
maker,1674
afraid,1675
drownde,1676
le,1677
warrant,1678
stronger,1679
nutt,1680
shell,1681
leaky,1682
vnstanched,1683
wench,1684
lay,1685
courses,1686
wet,1687
mari,1688
prayers,1689
mouths,1690
cold,1691
let,1692
theirs,1693
patience,1694
meerly,1695
cheated,1696
liues,1697
drunkards,1698
wide,1699
chopt,1700
rascall,1701
mightst,1702
washing,1703
tides,1704
hee,1705
euery,1706
drop,1707
water,1708
sweare,1709
gape,1710
widst,1711
glut,1712
confused,1713
mercy,1714
split,1715
farewell,1716
wife,1717
children,1718
brother,1719
seb,1720
leaue,1721
furlongs,1722
acre,1723
barren,1724
heath,1725
browne,1726
firrs,1727
wills,1728
aboue,1729
faine,1730
secunda,1731
prospero,1732
miranda,1733
mira,1734
deerest,1735
wild,1736
rore,1737
alay,1738
skye,1739
powre,1740
down,1741
stinking,1742
pitch,1743
mounting,1744
welkins,1745
cheeke,1746
dashes,1747
oh,1748
suffered,1749
saw,1750
suffer,1751
braue,1752
vessell,1753
doubt,1754
creature,1755
dash,1756
peeces,1757
knocke,1758
heart,1759
poore,1760
soules,1761
perish,1762
byn,1763
god,1764
power,1765
suncke,1766
ere,1767
swallow,1768
fraughting,1769
pros,1770
amazement,1771
pitteous,1772
harme,1773
woe,1774
deere,1775
daughter,1776
ignorant,1777
naught,1778
knowing,1779
whence,1780
full,1781
cell,1782
neuer,1783
medle,1784
thoughts,1785
informe,1786
farther,1787
lend,1788
plucke,1789
magick,1790
garment,1791
wipe,1792
direfull,1793
spectacle,1794
wracke,1795
touch,1796
vertue,1797
compassion,1798
prouision,1799
mine,1800
safely,1801
ordered,1802
perdition,1803
hayre,1804
betid,1805
heardst,1806
begun,1807
stopt,1808
bootelesse,1809
inquisition,1810
concluding,1811
howr,1812
minute,1813
byds,1814
ope,1815
eare,1816
obey,1817
attentiue,1818
vnto,1819
old,1820
certainely,1821
sir,1822
image,1823
kept,1824
remembrance,1825
assurance,1826
warrants,1827
fowre,1828
fiue,1829
women,1830
tended,1831
seest,1832
els,1833
dark,1834
backward,1835
abisme,1836
yf,1837
remembrest,1838
ought,1839
cam,1840
maist,1841
twelue,1842
yere,1843
duke,1844
millaine,1845
mother,1846
peece,1847
wast,1848
heire,1849
princesse,1850
worse,1851
issued,1852
heauens,1853
fowle,1854
blessed,1855
girle,1856
saist,1857
heau,1858
blessedly,1859
holpe,1860
hither,1861
bleedes,1862
oth,1863
teene,1864
vncle,1865
perfidious,1866
lou,1867
mannage,1868
state,1869
signories,1870
reputed,1871
liberall,1872
artes,1873
paralell,1874
gouernment,1875
cast,1876
grew,1877
stranger,1878
transported,1879
rapt,1880
secret,1881
studies,1882
false,1883
attend,1884
heedefully,1885
perfected,1886
graunt,1887
suites,1888
deny,1889
aduance,1890
trash,1891
ouer,1892
topping,1893
creatures,1894
chang,1895
em,1896
hauing,1897
key,1898
officer,1899
tune,1900
iuy,1901
princely,1902
trunck,1903
suckt,1904
verdure,1905
neglecting,1906
worldly,1907
closenes,1908
bettering,1909
retir,1910
priz,1911
popular,1912
rate,1913
awak,1914
euill,1915
trust,1916
beget,1917
falsehood,1918
contrarie,1919
indeede,1920
limit,1921
confidence,1922
sans,1923
bound,1924
lorded,1925
reuenew,1926
yeelded,1927
telling,1928
synner,1929
credite,1930
beleeue,1931
substitution,1932
executing,1933
outward,1934
roialtie,1935
prerogatiue,1936
growing,1937
cure,1938
deafenesse,1939
schreene,1940
plaid,1941
